,name,time_start,lon,lat,level,type,province
280,Sét tại Thái Bình,2022-07-10,106.577593,20.42916,0,Sét,Thai Binh
281,Động đất tại Kon Tum,2022-06-01,108.295,14.839,0,Động đất,Kon Tum
282,Sạt lở đất tại Cà Mau,2022-05-30,105.327983,9.008782,0,Sạt lở đất,Ca Mau
283,"Dông, lốc, sét, mưa đá tại Long An",2022-05-27,107.114645,10.528179,0,"Dông lốc, sét, mưa đá",Long An
284,Động đất tại Kon Tum,2022-06-02,108.233,14.847,0,Động đất,Kon Tum
285,Lốc tại Tiền Giang,2022-06-02,106.21663,10.420196,0,Lốc,An Giang
286,Sạt lở đất tại Cà Mau,2022-06-03,105.332337,9.013374,0,Sạt lở đất,Ca Mau
288,Động đất tại Kon Tum,2022-06-20,108.231,14.843,0,Động đất,Kon Tum
289,Động đất tại Kon Tum,2022-06-08,108.227,14.851,0,Động đất,Kon Tum
290,Lốc tại An Giang,2022-06-15,105.453369,10.494179,0,Lốc,An Giang
291,Dông lốc tại Hòa Bình,2022-07-18,105.288601,20.510819,0,Lốc,Hoa Binh
